154,СТ. МЕТРО "СТАРАЯ ДЕРЕВНЯ" - КАМЫШОВАЯ УЛ.
36,АС ЗВЁЗДНАЯ УЛ. - СТ. М. БУХАРЕСТСКАЯ
48,ТРОИЦКОЕ ПОЛЕ - СТ.МЕТРО "ОБУХОВО"
58,ХРУСТАЛЬНАЯ УЛ.-АТАМАНСКАЯ УЛ. 
40,'КОЛОМЯГИ, АВТОБУСНЫЙ ПАРК - СУЗДАЛЬСКИЙ ПР.'
398,ПОС. ПАРГОЛОВО - СЕВЕРНОЕ КЛАДБИЩЕ
127,'КОЛОМЯГИ, АВТОБУСНЫЙ ПАРК - ГЛУХАРСКАЯ УЛ.'
86,АС "УЛ. ЖЕНИ ЕГОРОВОЙ" - ФИНЛЯНДСКИЙ ВОКЗАЛ
172,РЕПИЩЕВА УЛ. - ШУВАЛОВСКИЙ ПР.
93,ШКОЛЬНАЯ УЛ. - СУЗДАЛЬСКИЙ ПР.
21,АС "БЕЛОРУССКАЯ УЛ." - СТ.М. "ЛАДОЖСКАЯ"
140,'СТ. МОСКОВСКАЯ-СОРТИРОВОЧНАЯ - УЛ. КОЛЛОНТАЙ, 47'
92,БЕЛОРУССКАЯ УЛ. - СТ.МЕТРО "ЛАДОЖСКАЯ"
435,АВТОБУСНАЯ СТАНЦИЯ "УЛ. ЖЕНИ ЕГОРОВОЙ" - ПОС. ЕЛИЗАВЕТИНКА
134,АФОНСКАЯ УЛ. - ПРИМОРСКИЙ ПР.
7,УЛ. КОРАБЛЕСТРОИТЕЛЕЙ - МОСКОВСКИЙ ВОКЗАЛ
8,УТКИНА ЗАВОДЬ - СТ.МЕТРО "ПЛ. АЛЕКСАНДРА НЕВСКОГО"
19,БЕЛОРУССКАЯ УЛ. - МОЛОКОЗАВОД
74,МАЛАЯ БАЛКАНСКАЯ УЛ. - ПЛ. ПРОЛЕТАРСКОЙ ДИКТАТУРЫ
23,'БЕЛОРУССКАЯ УЛ. - НОВО-КОВАЛЕВО, 3 ЛИНИЯ'
29,КАРБЮРАТОРНЫЙ ЗАВОД - СТ. МЕТРО "МОСКОВСКИЕ ВОРОТА"
476,'С.-ПЕТЕРБУРГ, СТ. МЕТРО "ЛОМОНОСОВСКАЯ" - ПОСЕЛОК СВЕРДЛОВА'
397,'АВТОБУСНАЯ СТАНЦИЯ "УЛ. ЖЕНИ ЕГОРОВОЙ" - ПОС. ПАРГОЛОВО, СПК "ПРИГОРОДНЫЙ"'
К-174,'г. Пушкин, Славянка - м.КУПЧИНО'
К-4 МЕГА,К-4 МЕГА
52,ФИНЛЯНДСКИЙ ВОКЗАЛ - СТ. МЕТРО "ЛЕСНАЯ" проект
46Б,А.С. "КРЕСТОВСКИЙ ОСТРОВ" - ПЛ. АЛЕКСАНДРА НЕВСКОГО
80Х,АС Жени Егоровой - ж/д ст. Пискарёвка
142Х,Счастливая ул. - ул. Доблести
51А,УЛ. ГРИБАКИНЫХ- ЗАВОД ЖЕЛЕЗОБЕТОННЫХ ИЗДЕЛИЙ № 1
0,АС РУЧЬИ - ТЕАТРАЛЬНАЯ ПЛ.
Центр 2,Центр 2
Центр 3,Центр 3
ВО,Васильевский остров
ПС ук,Петроградская сторона укороченный
195У,ст. метро "Проспект Ветеранов" - Южное кладбище
0,проекты Соболевой
187А,ЭКСПОФОРУМ 
187а,'УЛ. КОСТЮШКО - Г. ПУШКИН, ВОКЗАЛ'
3Ч,А.С. "КРЕСТОВСКИЙ ОСТРОВ" - СТ. МЕТРО "СПОРТИВНАЯ"
4Ч,НАБ.МАРТЫНОВА-СТ.М.ПЕТРОГРАДСКАЯ
ПРОЕКТ1,ОСНОВНОЙ
S2,А.С. "КРЕСТОВСКИЙ ОСТРОВ" - ПЛ. ВОССТАНИЯ
8 С,река Оккервиль- Смольный
75а,АС "УЛ. ЖЕНИ ЕГОРОВОЙ" - БЕРЕГОВАЯ УЛ.
145Б,'А.С. "КИРОВСКИЙ ЗАВОД" - ГЕОЛОГИЧЕСКАЯ УЛ.,75'
483Б,'Г.ЗЕЛЕНОГОРСК, ВОКЗАЛ - САНАТОРИЙ "СОСНОВЫЙ БОР"'
2,проекты маршрутов  Билык
135/,Пл.Восстания - Исаакиевская пл.
С-3/1,СТ. МЕТРО "ПРИМОРСКАЯ" - СТ. МЕТРО "ОБУХОВО"
А-3,А. С. ПР.МАРШАЛА ЖУКОВА-СТ.М "ПР.ВЕТЕРАНОВ"
392А,'Г.КОЛПИНО, ЗАВОДСКОЙ ПР. - СОВХОЗ ИМ.ТЕЛЬМАНА'
356Ш,УЛ. ШАХМАТОВА - Ж.-Д. СТ. СТАРЫЙ ПЕТЕРГОФ
31А,Костюшко -Александра Невского
1ЧМА, 
S5,Стадион - станция метро "Спортивная"
1ЧМБ,.
000Д,ст.метро ул. Дыбенко - Кудрово
1Чм,ВЫБОРГСКАЯ-СПОРТИВНАЯ
1СП,АС Звездная-Ст. М. Ладожская
2СП,АС "Малая балканская"-СТ м.Купчино
3СП,АС "УЛ.Костюшко" - СТ.метро "Бухарестская"
СП02,АС "ПР. КУЛЬТУРЫ" - СТ. М. УДЕЛЬНАЯ
СП005,УЛ. СТАСОВОЙ - СТ. М. "БУХАРЕСТСКАЯ"
к-446,ж.-д. станция Красное Село - ж.-д. станция Можайская
К-01,Станция метро «Проспект Просвещения»-ул. 1-го Мая у Успенской дороги
К-305а,станция метро Старая Деревня» -Приозерная ул.
320,'Зеленогорск, вокзал - Зеленогорск, вокзал'
К-33,'Станция метро "Московская", северный проезд ул. Типанова - "Аутлет Вилладж Пулково"'
8Б,ст. метро "Ломоносовская"-ст. метро  "Елизаровская"
100,НАЛИЧНАЯ УЛ. - СТ. М. "ВАСИЛЕОСТРОВСКАЯ"
106Х,АС Пискарёвка - Финляндский вокзал
130Х,АС Маршала Жукова - ст.метро Московская
З0Т,УЛ. ПОДВОЙСКОГО-РЖЕВСКАЯ ПЛ.
ПС,Петроградская сторона
10а,ХАСАНСКАЯ УЛ.- СТ. МЕТРО "НОВОЧЕРКАССКАЯ"10А
379А,'Г.ПАВЛОВСК, ВОКЗАЛ - СНТ "ПАВЛОВСКОЕ-2"'
1Ч,СПОРТИВНАЯ УЛ.-СТ.М.ВЫБОРГСКАЯ
8ТМ,Хасанская ул. - ст. метро "Ладожская"
S3,СТ. МЕТРО "ПЕТРОГРАДСКАЯ" - СТАДИОН
СП007,Ж.Д. СТ. СОРТИРОВОЧНАЯ- СТ. М. КУПЧИНО
78 К,СТ. МЕТРО "НАРВСКАЯ"
66/,АС "КИРОВСКИЙ ЗАВОД" - Комсомольская пл.
54А,МАЛАЯ БАЛКАНСКАЯ УЛ. - СТ. МЕТРО "БУХАРЕСТСКАЯ"
82,Ж.-Д. СТАНЦИЯ "ПИСКАРЕВКА" - СТ. МЕТРО "ЛАДОЖСКАЯ"
80,УЛ. ЖЕНИ ЕГОРОВОЙ - Ж.-Д. СТАНЦИЯ "ПИСКАРЁВКА"
25А,А.С. "КРЕСТОВСКИЙ ОСТРОВ"-ПР. ДИНАМО-БЕЛООСТРОВСКАЯ УЛ.
46,ТАЛЛИНСКАЯ УЛ. - БЕЛООСТРОВСКАЯ УЛ.
189,'УЛ. ГРИБАКИНЫХ - ПОС. САПЕРНЫЙ, МЕБЕЛЬНЫЙ КОМБИНАТ'
128,НАЛИЧНАЯ УЛ. - АПТЕКАРСКАЯ НАБ.
81,СЧАСТЛИВАЯ УЛ. - ПОС. ТОРИКИ
1Л,'Г. ЛОМОНОСОВ, ВОКЗАЛ - МАЛАЯ ИЖОРА'
2КР,'Г.КРОНШТАДТ, ЛЕНИНГРАДСКАЯ ПРИСТАНЬ-ФОРТ "ШАНЦ"'
3КР,'Г.КРОНШТАДТ, ЛЕНИНГРАДСКАЯ ПРИСТАНЬ-КВАРТАЛ 19-Б'
3Л,'Г. ЛОМОНОСОВ, ВОКЗАЛ - Г. ЛОМОНОСОВ, ВОКЗАЛ'
10,А.С."КРЕСТОВСКИЙ ОСТРОВ"-БАЛТИЙСКИЙ ВОКЗАЛ
18А,УЛ.СТОЙКОСТИ - СТАНЦИЯ МЕТРО "ЛЕНИНСКИЙ ПРОСПЕКТ"
25,А.С."КРЕСТОВСКИЙ ОСТРОВ"-БЕЛООСТРОВСКАЯ УЛ.
26,А.С. "КИРОВСКИЙ ЗАВОД" - МОСКОВСКИЙ ВОКЗАЛ
483А,'Г. ЗЕЛЕНОГОРСК, ВОКЗАЛ - САНАТОРИЙ "СОСНОВЫЙ БОР"'
494,'"ПОС. БЕЛООСТРОВ" - АЛЕКСАНДРОВСКОЕ ШОССЕ, САДОВОДСТВО "САДЫ"'
497,Ж.-Д. СТАНЦИЯ ПЕСОЧНАЯ - ПОС. ЧЕРНАЯ РЕЧКА
117,ТРОИЦКОЕ ПОЛЕ - УЛ. САМОЙЛОВОЙ
8А,СТ - СТ. МЕТРО "ЕЛИЗАРОВСКАЯ" -СТ. МЕТРО "ПЛ. АЛЕКСАНДРА НЕВСКОГО"
4,УТКИНА ЗАВОДЬ-РЕКА "ОККЕРВИЛЬ"
187шк,'ПУШКИН, А.С. "ЖЕЛЕЗНОДОРОЖНАЯ УЛ." - "СЛАВЯНКА", РОСТОВСКАЯ УЛ.'
84А,'ПОС.ЛЕВАШОВО, ВОКЗАЛ - ПОС.НОВОСЕЛКИ, КАРЬЕР'
154А,СТ. МЕТРО "СТАРАЯ ДЕРЕВНЯ" - ШУВАЛОВСКИЙ ПР.
126,СТ. МЕТРО "СТАРАЯ ДЕРЕВНЯ" - СТ. МЕТРО "СТАРАЯ ДЕРЕВНЯ"(КОЛЬЦЕВОЙ)
126 Т,ст. метро Старая деревня- ст. метро Старая деревня
55,ТАЛЛИНСКАЯ УЛ. - ЕДИНЫЙ ЦЕНТР ДОКУМЕНТОВ
134Ш,ШКОЛЬНАЯ УЛ. - ГБОУ ГИМНАЗИИ №540
К-58,станция метро "Озерки" - пр. Культуры 
К-59,'станция метро "Московские ворота", Московский пр., д. 103  - станция метро "Купчино", Балканская пл.'
К-2,ж.-д. станция Лигово - Никольская пл.
К-60,'пр. Стачек, д. 90 - пр. Народного Ополчения, д. 205'
К-3,Садовая улица - аэропорт Пулково-2
К-175,'ТРК "Северный молл", пр. Культуры, д. 41 - Авт. станция "Наличная"'
К-6,'станция метро "Новочеркасская" - ул. Академика Константинова, д.1'
К-7,'Садовая ул., д. 39-41 - наб. реки Фонтанки, д. 201'
К-8,станция метро "Площадь Александра Невского" - Уткина Заводь
К-66,'ул. Червонного Казачества - Канонерский остров, д. 11'
К-177,ст.метро "Нарвская"-Финляндский вокзал
К-11к,Троицкое Поле - ж.-д. станция Предпортовая
К-68,станция метро "Проспект Ветеранов" - улица Чекистов
К-12,торговый дом "Максидом" - на пересечении улицы Коллонтай и улицы Лопатина
К-179А,ст. метро "Старая деревня"-Пилотная улица
К-13,станция Станция метро "Московская" (северный проезд ул. Типанова)- Авиагородок
К-70,станция метро "Озерки" - на пересечении пр. Луначарского и Светлановского пр.
К-71,'станция метро "Старая Деревня" - Глухарская ул., д.4'
К-183,Прибалтийская пл. - ст. метро "Площадь Ленина"
К-14,станция метро "Пионерская" - Глухарская улица
К-15,Улица Смольного - ТК "Радуга"
78,СТ.МЕТРО "НАРВСКАЯ" - СТ. МЕТРО "НАРВСКАЯ"
1,АВТОБУСНАЯ СТАНЦИЯ "РУЧЬИ" - СТ. МЕТРО "ОЗЕРКИ"
335А,'Г. КОЛПИНО, ЛЕНИНГРАДСКАЯ УЛ. - ПОС. МЕТАЛЛОСТРОЙ, ЦЕНТРАЛЬНАЯ УЛ.'
5,УЛ. ГРИБАКИНЫХ - СТ. МЕТРО "ЛАДОЖСКАЯ"
51,УЛ. ГРИБАКИНЫХ - ЗАВОД ЖЕЛЕЗОБЕТОННЫХ ИЗДЕЛИЙ №1
164,УЛ. ПОДВОЙСКОГО - УЛ. ХИМИКОВ
16,ЗВЕЗДНАЯ УЛ. - СТ.МЕТРО "ПАРК ПОБЕДЫ"
4Л,'Г. ЛОМОНОСОВ, ВОКЗАЛ - БИЗНЕС-ПАРК "МАРТЫШКИНО"'
67,БАЛТИЙСКИЙ ВОКЗАЛ - КАНОНЕРСКИЙ ОСТРОВ
67А,ДВИНСКАЯ УЛ. - КАНОНЕРСКИЙ ОСТРОВ
68,СЧАСТЛИВАЯ УЛ. - ЛЕНИНГРАДСКИЙ ЭЛЕКТРОМЕХАНИЧЕСКИЙ ЗАВОД
382,'Г.ПУШКИН, АВТОБУСНАЯ СТАНЦИЯ "ЖЕЛЕЗНОДОРОЖНАЯ УЛ." - КАЗАНСКОЕ КЛАДБИЩЕ'
124,БЕЛОРУССКАЯ УЛ. - ЧЕЛЯБИНСКАЯ УЛ.
360Б,'Г. ПЕТРОДВОРЕЦ, ВОКЗАЛ - ЖИЛГОРОДОК'
155,УЛ. КОСТЮШКО - Ж.-Д.СТ. АЛЕКСАНДРОВСКАЯ
166,СТ. МЕТРО "СТАРАЯ ДЕРЕВНЯ"- КАМЫШОВАЯ УЛ.
216,'Г. СЕСТРОРЕЦК, КУРОРТНАЯ УЛ. - СТ. МЕТРО "СТАРАЯ ДЕРЕВНЯ"'
318,'Г. ЗЕЛЕНОГОРСК, ВОКЗАЛ - ПОС. СЕРОВО'
319,'Г.ЗЕЛЕНОГОРСК, ВОКЗАЛЬНАЯ ПЛ. - САНАТОРИЙ "СОСНОВАЯ ПОЛЯНА"'
